County,FIPS,States
Menominee County, 55078 FIPS Code, Wisconsin
Milwaukee County, 55079 FIPS Code, Wisconsin
Monroe County, 55081 FIPS Code, Wisconsin
Oconto County, 55083 FIPS Code, Wisconsin
Oneida County, 55085 FIPS Code, Wisconsin
Outagamie County, 55087 FIPS Code, Wisconsin
Ozaukee County, 55089 FIPS Code, Wisconsin
Pepin County, 55091 FIPS Code, Wisconsin
Pierce County, 55093 FIPS Code, Wisconsin
Polk County, 55095 FIPS Code, Wisconsin
Portage County, 55097 FIPS Code, Wisconsin
Price County, 55099 FIPS Code, Wisconsin
Racine County, 55101 FIPS Code, Wisconsin
Richland County, 55103 FIPS Code, Wisconsin
Rock County, 55105 FIPS Code, Wisconsin
Rusk County, 55107 FIPS Code, Wisconsin
Sauk County, 55111 FIPS Code, Wisconsin
Sawyer County, 55113 FIPS Code, Wisconsin
Shawano County, 55115 FIPS Code, Wisconsin
Sheboygan County, 55117 FIPS Code, Wisconsin
St. Croix County, 55109 FIPS Code, Wisconsin
Taylor County, 55119 FIPS Code, Wisconsin
Trempealeau County, 55121 FIPS Code, Wisconsin
Vernon County, 55123 FIPS Code, Wisconsin
Vilas County, 55125 FIPS Code, Wisconsin
Walworth County, 55127 FIPS Code, Wisconsin
Washburn County, 55129 FIPS Code, Wisconsin
Washington County, 55131 FIPS Code, Wisconsin
Waukesha County, 55133 FIPS Code, Wisconsin
Waupaca County, 55135 FIPS Code, Wisconsin
Waushara County, 55137 FIPS Code, Wisconsin
Winnebago County, 55139 FIPS Code, Wisconsin
Wood County, 55141 FIPS Code, Wisconsin
Alcona County, 26001 FIPS Code, Michigan
Alger County, 26003 FIPS Code, Michigan
Allegan County, 26005 FIPS Code, Michigan
Alpena County, 26007 FIPS Code, Michigan
Antrim County, 26009 FIPS Code, Michigan
Arenac County, 26011 FIPS Code, Michigan
Baraga County, 26013 FIPS Code, Michigan
Barry County, 26015 FIPS Code, Michigan
Bay County, 26017 FIPS Code, Michigan
Benzie County, 26019 FIPS Code, Michigan
Berrien County, 26021 FIPS Code, Michigan
Branch County, 26023 FIPS Code, Michigan
Calhoun County, 26025 FIPS Code, Michigan
Cass County, 26027 FIPS Code, Michigan
Charlevoix County, 26029 FIPS Code, Michigan
Cheboygan County, 26031 FIPS Code, Michigan
Chippewa County, 26033 FIPS Code, Michigan
Clare County, 26035 FIPS Code, Michigan
Clinton County, 26037 FIPS Code, Michigan
Crawford County, 26039 FIPS Code, Michigan
Delta County, 26041 FIPS Code, Michigan
Dickinson County, 26043 FIPS Code, Michigan
Eaton County, 26045 FIPS Code, Michigan
Emmet County, 26047 FIPS Code, Michigan
Genesee County, 26049 FIPS Code, Michigan
Gladwin County, 26051 FIPS Code, Michigan
Gogebic County, 26053 FIPS Code, Michigan
